Headline,Label
Says the Annies List political group supports third-trimester abortions on demand.,0
Health care reform legislation is likely to mandate free sex change surgeries.,0
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,1
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",0
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,1
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,0
I dont know who (Jonathan Gruber) is.,0
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",0
Says Paul Ryan is still endorsing Trump.,1
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,0
We have a federal government that thinks they have the authority to regulate our toilet seats.,1
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,1
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",1
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",1
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,0
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,0
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,0
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,1
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,0
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",1
Sen. Obama's campaign announced that he's choosing his cabinet.,0
Only 2 percent of public high schools in the country offer PE classes.,0
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",1
"Under Mayor Cicilline, [Providence] was a sanctuary city.",0
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",1
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",0
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",1
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",1
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,0
Says Charlie Crist supports cuts to the Medicare Advantage program.,0
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,1
"In the past 20 years, Egypt has made great strides in political and democratic reform.",0
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,0
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,1
